record_id	topic_id
5001	1
5002	1
5003	1
5004	2
5005	0
5006	1
5007	1
5008	0
5009	1
5010	2
5011	0
5012	0
5013	1
5014	0
5015	2
5016	0
5017	1
5018	0
5019	1
5020	1
5021	0
5022	2
5023	1
5024	0
5025	1
5026	1
5027	2
5028	1
5029	0
5030	0
5031	0
5032	1
5033	0
5034	0
5035	0
5036	2
5037	1
5038	0
5039	1
5040	0
5041	0
5042	1
5043	1
5044	0
5045	1
5046	1
5047	0
5048	0
5049	0
5050	2
5051	0
5052	0
5053	0
5054	1
5055	0
5056	1
5057	0
5058	1
5059	0
5060	0
5061	1
5062	1
5063	0
5064	0
5065	1
5066	0
5067	0
5068	1
5069	0
5070	1
5071	0
5072	0
5073	0
5074	1
5075	1
5076	0
5077	2
5078	0
5079	0
5080	1
5081	1
5082	2
5083	1
5084	1
5085	1
5086	1
5087	1
5088	0
5089	1
5090	1
5091	1
5092	0
5093	1
5094	0
5095	2
5096	0
5097	1
5098	0
5099	1
5100	0
5101	0
5102	1
5103	0
5104	0
5105	1
5106	1
5107	1
5108	1
5109	0
5110	0
5111	2
5112	2
5113	0
5114	0
5115	1
5116	0
5117	2
5118	0
5119	1
5120	1
5121	1
5122	1
5123	2
5124	1
5125	2
5126	0
5127	2
5128	0
5129	0
5130	1
5131	1
5132	0
5133	2
5134	0
5135	2
5136	0
5137	2
5138	0
5139	1
5140	0
5141	1
5142	0
5143	1
5144	0
5145	1
5146	0
5147	1
5148	0
5149	0
5150	2
5151	2
5152	1
5153	0
5154	0
5155	2
5156	1
5157	0
5158	0
5159	1
5160	0
5161	1
5162	1
5163	2
5164	0
5165	1
5166	1
5167	2
5168	0
5169	0
5170	2
5171	0
5172	0
5173	0
5174	0
5175	1
5176	1
5177	0
5178	1
5179	2
5180	0
5181	1
5182	0
5183	0
5184	0
5185	2
5186	0
5187	0
5188	2
5189	1
5190	1
5191	0
5192	2
5193	1
5194	2
5195	0
5196	0
5197	1
5198	0
5199	1
5200	0
5201	2
5202	0
5203	1
5204	0
5205	0
5206	0
5207	0
5208	0
5209	0
5210	0
5211	0
5212	1
5213	1
5214	1
5215	1
5216	0
5217	0
5218	1
5219	2
5220	0
5221	0
5222	0
5223	2
5224	1
5225	1
5226	1
5227	1
5228	0
5229	2
5230	2
5231	0
5232	0
5233	2
5234	0
5235	0
5236	0
5237	1
5238	0
5239	2
5240	1
5241	1
5242	1
5243	0
5244	0
5245	0
5246	0
5247	0
5248	1
5249	2
5250	0
5251	0
5252	1
5253	1
5254	1
5255	0
5256	1
5257	1
5258	0
5259	1
5260	1
5261	0
5262	1
5263	0
5264	1
5265	0
5266	0
5267	2
5268	1
5269	0
5270	1
5271	1
5272	1
5273	0
5274	2
5275	1
5276	0
5277	0
5278	1
5279	0
5280	1
5281	1
5282	0
5283	0
5284	0
5285	1
5286	1
5287	0
5288	0
5289	2
5290	1
5291	0
5292	0
5293	0
5294	1
5295	1
5296	0
5297	0
5298	0
5299	0
5300	1
5301	2
5302	1
5303	0
5304	0
5305	0
5306	2
5307	0
5308	0
5309	1
5310	1
5311	0
5312	0
5313	2
5314	0
5315	1
5316	0
5317	1
5318	0
5319	1
5320	0
5321	1
5322	2
5323	0
5324	0
5325	0
5326	0
5327	1
5328	1
5329	1
5330	0
5331	0
5332	0
5333	0
5334	1
5335	1
5336	2
5337	2
5338	1
5339	1
5340	0
5341	0
5342	0
5343	1
5344	1
5345	1
5346	1
5347	1
5348	1
5349	0
5350	1
5351	2
5352	0
5353	1
5354	2
5355	1
5356	1
5357	0
5358	0
5359	1
5360	0
5361	1
5362	2
5363	0
5364	0
5365	0
5366	0
5367	1
5368	1
5369	1
5370	1
5371	2
5372	0
5373	1
5374	1
5375	1
5376	0
5377	2
5378	0
5379	1
5380	2
5381	1
5382	1
5383	1
5384	0
5385	1
5386	0
5387	0
5388	0
5389	2
5390	2
5391	2
5392	0
5393	2
5394	0
5395	2
5396	0
5397	2
5398	1
5399	0
5400	1
5401	0
5402	1
5403	0
5404	0
5405	0
5406	0
5407	1
5408	1
5409	1
5410	1
5411	1
5412	1
5413	1
5414	0
5415	1
5416	0
5417	1
5418	0
5419	1
5420	1
5421	1
5422	1
5423	0
5424	1
5425	1
5426	1
5427	1
5428	2
5429	0
5430	0
5431	0
5432	0
5433	0
5434	0
5435	0
5436	1
5437	2
5438	1
5439	0
5440	0
5441	0
5442	0
5443	0
5444	0
5445	1
5446	0
5447	0
5448	1
5449	1
5450	0
5451	0
5452	1
5453	1
5454	1
5455	1
5456	0
5457	0
5458	1
5459	0
5460	0
5461	1
5462	1
5463	2
5464	0
5465	0
5466	1
5467	1
5468	2
5469	1
5470	1
5471	1
5472	2
5473	0
5474	0
5475	0
5476	1
5477	0
5478	0
5479	1
5480	0
5481	1
5482	0
5483	1
5484	1
5485	1
5486	1
5487	0
5488	0
5489	2
5490	1
5491	1
5492	1
5493	1
5494	0
5495	1
5496	1
5497	0
5498	2
5499	0
5500	2
5501	0
5502	1
5503	1
5504	1
5505	1
5506	0
5507	0
5508	0
5509	1
5510	1
5511	2
5512	0
5513	2
5514	0
5515	1
5516	1
5517	0
5518	1
5519	1
5520	0
5521	0
5522	1
5523	0
5524	0
5525	0
5526	0
5527	1
5528	2
5529	1
5530	0
5531	0
5532	2
5533	0
5534	0
5535	0
5536	0
5537	0
5538	0
5539	1
5540	0
5541	1
5542	0
5543	0
5544	1
5545	0
5546	0
5547	1
5548	1
5549	0
5550	2
5551	0
5552	0
5553	2
5554	1
5555	1
5556	1
5557	0
5558	1
5559	2
5560	1
5561	0
5562	0
5563	0
5564	1
5565	0
5566	0
5567	0
5568	1
5569	0
5570	0
5571	0
5572	1
5573	2
5574	2
5575	1
5576	2
5577	1
5578	1
5579	1
5580	1
5581	1
5582	1
5583	1
5584	1
5585	2
5586	1
5587	0
5588	0
5589	0
5590	1
5591	0
5592	1
5593	1
5594	0
5595	0
5596	1
5597	0
5598	0
5599	2
5600	0
5601	1
5602	0
5603	0
5604	2
5605	0
5606	0
5607	1
5608	1
5609	1
5610	0
5611	2
5612	0
5613	0
5614	0
5615	0
5616	1
5617	1
5618	1
5619	1
5620	0
5621	1
5622	0
5623	1
5624	1
5625	2
5626	1
5627	2
5628	1
5629	1
5630	1
5631	1
5632	0
5633	0
5634	1
5635	1
5636	0
5637	2
5638	1
5639	2
5640	0
5641	1
5642	0
5643	0
5644	0
5645	0
5646	2
5647	0
5648	1
5649	0
5650	0
5651	0
5652	0
5653	1
5654	1
5655	0
5656	1
5657	0
5658	0
5659	1
5660	0
5661	1
5662	1
5663	0
5664	1
5665	1
5666	2
5667	1
5668	0
5669	1
5670	1
5671	0
5672	1
5673	1
5674	1
5675	1
5676	0
5677	0
5678	0
5679	0
5680	0
5681	1
5682	0
5683	0
5684	1
5685	1
5686	0
5687	1
5688	1
5689	1
5690	1
5691	1
5692	2
5693	0
5694	1
5695	2
5696	1
5697	2
5698	1
5699	1
5700	1
5701	1
5702	1
5703	1
5704	0
5705	0
5706	0
5707	1
5708	0
5709	0
5710	0
5711	0
5712	1
5713	0
5714	2
5715	1
5716	0
5717	0
5718	0
5719	1
5720	1
5721	1
5722	0
5723	1
5724	2
5725	1
5726	0
5727	1
5728	2
5729	2
5730	1
5731	0
5732	0
5733	1
5734	0
5735	1
5736	1
5737	1
5738	0
5739	2
5740	0
5741	0
5742	1
5743	2
5744	0
5745	1
5746	0
5747	2
5748	1
5749	0
5750	1
5751	1
5752	0
5753	0
5754	1
5755	1
5756	0
5757	1
5758	0
5759	0
5760	0
5761	0
5762	0
5763	0
5764	0
5765	0
5766	0
5767	0
5768	1
5769	0
5770	0
5771	0
5772	1
5773	1
5774	0
5775	0
5776	1
5777	1
5778	0
5779	1
5780	1
5781	0
5782	0
5783	0
5784	1
5785	1
5786	0
5787	0
5788	0
5789	0
5790	1
5791	1
5792	1
5793	0
5794	1
5795	0
5796	1
5797	2
5798	0
5799	1
5800	1
5801	2
5802	1
5803	1
5804	1
5805	0
5806	0
5807	1
5808	0
5809	0
5810	1
5811	0
5812	0
5813	0
5814	1
5815	2
5816	0
5817	0
5818	0
5819	0
5820	0
5821	1
5822	1
5823	1
5824	0
5825	1
5826	0
5827	1
5828	1
5829	1
5830	0
5831	2
5832	0
5833	0
5834	0
5835	1
5836	1
5837	1
5838	1
5839	0
5840	0
5841	1
5842	0
5843	0
5844	0
5845	0
5846	0
5847	1
5848	0
5849	0
5850	0
5851	0
5852	1
5853	1
5854	1
5855	0
5856	1
5857	0
5858	0
5859	0
5860	0
5861	2
5862	0
5863	1
5864	2
5865	1
5866	0
5867	0
5868	1
5869	2
5870	1
5871	1
5872	1
5873	0
5874	0
5875	2
5876	1
5877	0
5878	0
5879	0
5880	0
5881	0
5882	1
5883	0
5884	0
5885	0
5886	1
5887	2
5888	0
5889	0
5890	2
5891	0
5892	0
5893	1
5894	0
5895	2
5896	2
5897	0
5898	2
5899	1
5900	1
5901	1
5902	1
5903	0
5904	0
5905	1
5906	2
5907	1
5908	0
5909	1
5910	0
5911	1
5912	0
5913	1
5914	0
5915	1
5916	0
5917	0
5918	1
5919	1
5920	2
5921	2
5922	0
5923	1
5924	1
5925	1
5926	1
5927	1
5928	0
5929	0
5930	2
5931	1
5932	0
5933	1
5934	1
5935	1
5936	0
5937	1
5938	0
5939	1
5940	0
5941	0
5942	1
5943	1
5944	0
5945	0
5946	0
5947	1
5948	1
5949	0
5950	0
5951	0
5952	0
5953	1
5954	0
5955	1
5956	1
5957	0
5958	0
5959	1
5960	1
5961	0
5962	2
5963	1
5964	1
5965	0
5966	0
5967	2
5968	1
5969	0
5970	0
5971	0
5972	0
5973	0
5974	0
5975	0
5976	0
5977	1
5978	0
5979	1
5980	2
5981	0
5982	1
5983	1
5984	0
5985	0
5986	2
5987	1
5988	1
5989	1
5990	1
5991	1
5992	1
5993	1
5994	1
5995	0
5996	1
5997	0
5998	0
5999	1
6000	1
6001	0
6002	0
6003	0
6004	0
6005	2
6006	0
6007	1
6008	1
6009	2
6010	0
6011	0
6012	1
6013	1
6014	0
6015	1
6016	1
6017	1
6018	0
6019	1
6020	1
6021	0
6022	1
6023	1
6024	1
6025	2
6026	1
6027	0
6028	1
6029	0
6030	1
6031	1
6032	0
6033	0
6034	2
6035	0
6036	1
6037	1
6038	2
6039	1
6040	0
6041	0
6042	1
6043	2
